2010-06-04 21:30:33 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2864 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2864 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:34 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2864 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2864 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2864 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:30:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:40:16 Debug: Notice (8): Undefined variable: pictures in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 6]
2010-06-04 21:40:18 Debug: Notice (8): Undefined variable: pictures in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 6]
2010-06-04 21:40:54 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:41:23 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
2010-06-04 21:42:06 Debug: Notice (8): Undefined variable: directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 16]
